idUcapanMotivasi,Kelolosan,Ucapan
1,1,"Kesuksesanmu bukanlah kebetulan, tetapi hasil dari kerja keras dan tekad yang kuat. Teruslah berkembang dan berkontribusi."
2,0,Jangan biarkan satu kegagalan menghancurkan impianmu. Teruslah berusaha dan teruslah percaya pada dirimu sendiri.
3,1,"Tantangan baru menanti, dan kamu siap untuk menghadapinya. Bersiaplah untuk menginspirasi dan memotivasi orang lain di sepanjang perjalananmu."
4,1,Jangan pernah ragu akan potensimu. Kamu telah membuktikan bahwa kamu bisa mencapai apa pun yang kamu inginkan.
5,0,Kegagalan adalah bagian alami dari perjalanan menuju kesuksesan. Teruslah bertekad dan terus berjuang.
6,0,"Meskipun saat ini mungkin terasa sulit, tetapi ini akan membuatmu lebih kuat. Teruslah berjuang dan teruslah percaya."
7,0,Tetaplah positif dan fokus pada tujuanmu. Kegagalan hari ini tidak akan menentukan masa depanmu jika kamu terus berusaha.
8,0,"Keputusan ini bukanlah akhir dari perjalananmu, tetapi bagian dari proses menuju kesuksesan. Tetaplah berjuang."
9,1,Berada di BEM adalah kepercayaan yang besar. Jadilah teladan bagi yang lain dengan karya dan dedikasimu.
10,0,Kamu telah menunjukkan keberanian dengan mencoba. Teruslah berani dan teruslah mencari kesempatan untuk tumbuh.
